iteration, train_loss, cv_loss, train_accuracy, cv_accuracy
0,2.29847232103,2.29902479649,0.0994999976829,0.104999995977
50,2.169500494,2.16694719791,0.197499990836,0.2179999955
100,1.96529461145,1.95484104156,0.232499992102,0.256499994546
150,1.90588926077,1.89307758808,0.234499991685,0.24699998945
200,1.75906693935,1.80026387572,0.305499987304,0.280499990284
250,1.71815830469,1.7124681592,0.331499986351,0.333999982476
300,1.68611497879,1.71003011465,0.346999991685,0.341999992728
350,1.64061684608,1.68585650325,0.342499989271,0.328499992937
400,1.61472105384,1.60363794565,0.382499989867,0.384499980509
450,1.59012605548,1.56639174223,0.390499983728,0.408499987423
500,1.5179920435,1.53161670566,0.40799998939,0.384999990463
550,1.48671711087,1.49982107282,0.452499993145,0.430499991775
600,1.41642525792,1.47656490207,0.460999986529,0.438499990106
650,1.41724107862,1.40830096602,0.462499982119,0.47049998641
700,1.35171145201,1.38020629883,0.483499988914,0.474499982595
750,1.33145289421,1.38425047994,0.516499972343,0.478999973834
800,1.32321043015,1.31541030407,0.500499975681,0.5064999789
850,1.27779777646,1.27970389128,0.535499985516,0.536999982595
900,1.29245380759,1.27462618351,0.536499966681,0.531999965012
950,1.24721412659,1.27019594908,0.540499980748,0.534999969602
1000,1.30517070293,1.23972710967,0.52999998033,0.536499969661
1050,1.22078300714,1.20356730819,0.551499965787,0.549999976158
1100,1.16864315569,1.21592717171,0.591499972343,0.558999973536
1150,1.18165649474,1.21161201596,0.584999975562,0.562999972701
1200,1.16982263327,1.18025408983,0.572999981046,0.56749997437
1250,1.1730322063,1.14590855241,0.582499963045,0.568999961019
1300,1.12984348238,1.17953545451,0.587499974668,0.565499961376
1350,1.15475567579,1.19936190248,0.569499966502,0.563499969244
1400,1.10919359326,1.11471163332,0.598999968171,0.585999968648
1450,1.06198262572,1.13009751737,0.608499968052,0.593499979377
1500,1.04627156258,1.1223189652,0.611499983072,0.609499970078
1550,1.10308697522,1.07750628591,0.600999969244,0.607999974489
1600,1.05763694942,1.09741246402,0.613999977708,0.588999976218
1650,1.07300078273,1.0682007581,0.608999976516,0.616999971867
1700,1.02473723888,1.06016768813,0.62999996841,0.605499973893
1750,1.05168005228,1.05601957738,0.602499964833,0.613499969244
1800,1.06417173743,1.01707154214,0.627999976277,0.631999981403
1850,1.03227422535,1.03960376382,0.636499974132,0.62049998343
1900,0.940500691533,0.981718224287,0.65499997437,0.632499966025
1950,0.951278245449,1.0192197293,0.655999964476,0.628999975324
2000,0.945423346758,1.0254684031,0.662499964237,0.62849996686
2050,0.968298751116,0.963208842278,0.659499976039,0.644999974966
2100,0.936632141471,0.974601894617,0.660999965668,0.626499985158
2150,0.935788288713,0.995418924093,0.665999981761,0.629499965906
2200,0.924157992005,0.937611687183,0.663999980688,0.655999973416
2250,0.914125227928,1.00900439918,0.676999971271,0.631499972939
2300,0.899827170372,0.973247924447,0.682499974966,0.660999968648
2350,0.973552429676,0.969652739167,0.644999969006,0.644999974966
2400,0.901325768232,0.907262417674,0.667999964952,0.679499974847
2450,0.867910629511,0.932175114751,0.688499963284,0.650999969244
2500,0.898123317957,0.916150388122,0.681499961019,0.663499984145
2550,0.865413761139,0.896649056673,0.680999964476,0.689999982715
2600,0.863851162791,0.883354783058,0.695499971509,0.677499979734
2650,0.900761821866,0.894983196259,0.677499964833,0.683999955654
2700,0.906803691387,0.938034361601,0.674999964237,0.663999980688
2750,0.867509821057,0.909647524357,0.688999980688,0.659499949217
2800,0.812931209803,0.886110576987,0.710999962687,0.674999973178
2850,0.857483005524,0.887436547875,0.703999984264,0.687999975681
2900,0.825698032975,0.862327489257,0.694999974966,0.680999973416
2950,0.822019007802,0.860966238379,0.705999973416,0.68799996376
3000,0.855578696728,0.933843174577,0.690499961376,0.66449996531
3050,0.786592793465,0.871380928159,0.719999974966,0.683499971032
3100,0.773124080896,0.834359756112,0.720999968052,0.711499974132
3150,0.816101917624,0.899563455582,0.701499980688,0.676499971747
3200,0.823949444294,0.835441932082,0.699499979615,0.699999979138
